gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
b3155	3299966	3300268	1	gene		3299966	0	P45472					5809958.571344681	85700019629.20457
b3156	3300255	3300758	-1	gene		3300268	0	P63417	Uncharacterized N-acetyltransferase YhbS OS=Escherichia coli (strain K12) GN=yhbS PE=3 SV=1	yhbS	18504.27117	461.6030168632555	8541627.396927763	85708561256.6015
b3157	3300752	3301276	-1	gene		3300758	0	P64599	Uncharacterized protein yhbT OS=Escherichia coli (strain K12) GN=yhbT PE=1 SV=1	yhbT	19641.28483	0.006417733826974645	126.05253805873494	85708561382.65404
PM0-10131	3301277	3301301	-1	promoter	[b3156, b3157]	3301277	0						0.0	85708561382.65404
PM0-10130	3301277	3301368	-1	promoter	[b3157, b3156]	3301301	0						0.0	85708561382.65404
b3158	3301485	3302480	1	gene		3301485	0	P45527					5809958.571344681	85714371341.22539
b3159	3302489	3303367	1	gene		3302489	0	P45475					5809958.571344681	85720181299.79674
b3160	3303448	3304455	1	gene		3303448	0	P0ADV5	Uncharacterized protein yhbW OS=Escherichia coli (strain K12) GN=yhbW PE=4 SV=1	yhbW	37087.72888	128.1268845593933	4751935.156777837	85724933234.95352
b3161	3304573	3305817	-1	gene		3304573	0	P0AAD2					5809958.571344681	85730743193.52487
PM0-9417	3305818	3305932	-1	promoter	[b3161]	3305818	0						0.0	85730743193.52487
b3162	3305971	3307860	-1	gene		3305971	0	P0A9P6	Cold-shock DEAD box protein A OS=Escherichia coli (strain K12) GN=deaD PE=1 SV=2	deaD	70484.62084	421.9455272342327	29740670.502238788	85760483864.02711
b4685	3307853	3307933	-1	gene		3307860	0	C1P618					5809958.571344681	85766293822.59846
PM0-10411	3307934	3308086	-1	promoter	[b3162, b4685]	3307934	0						0.0	85766293822.59846
b3163	3308040	3308924	-1	gene		3308086	0	P0AFB1	Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1	nlpI	33581.82179	123.94940975013556	4162446.989204741	85770456269.58768
b3164	3309033	3311168	-1	gene		3309033	0	P05055	Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3	pnp	77034.97797	2207.9247614584906	170087435.35837233	85940543704.94604
PM00438	3311169	3311326	-1	promoter	[b3164]	3311169	0						0.0	85940543704.94604
b4449	3311225	3311398	1	gene		3311326	0						5809958.571344681	85946353663.5174
b3165	3311415	3311684	-1	gene		3311415	0	P0ADZ4	30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2	rpsO	10244.49567	43051.85631486699	441044555.60311705	86387398219.12051
PM00439	3311685	3311786	-1	promoter	[b3164, b3165]	3311685	0						0.0	86387398219.12051
b3166	3311833	3312777	-1	gene		3311833	0	P60340	tRNA pseudouridine synthase B OS=Escherichia coli (strain K12) GN=truB PE=1 SV=1	truB	35047.11747	130.78526838807534	4583646.664542354	86391981865.78505
b3167	3312777	3313178	-1	gene		3312777	0	P0A7G2	Ribosome-binding factor A OS=Escherichia coli (strain K12) GN=rbfA PE=1 SV=2	rbfA	15126.78278	1545.9045818397185	23384562.808096156	86415366428.59314
b3168	3313342	3316014	-1	gene		3313342	0	P0A705	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	infB	97272.32602	1544.6421559954367	150250935.3822238	86565617363.97536
b3169	3316039	3317526	-1	gene		3316039	0	P0AFF6	Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1	nusA	54819.06259	5037.029021362565	276125209.18972087	86841742573.16508
b3170	3317554	3318006	-1	gene		3317554	0	P0A8A8	Ribosome maturation factor rimP OS=Escherichia coli (strain K12) GN=rimP PE=1 SV=2	rimP	16622.51589	730.606623842953	12144520.214168739	86853887093.37926
PM0-8873	3318007	3318175	-1	promoter	[b3170, b3168, b3169]	3318007	0						0.0	86853887093.37926
b3171	3318213	3318289	-1	gene		3318213	0						5809958.571344681	86859697051.9506
PM00672	3318290	3318375	-1	promoter	[b3164, b3165, b3166, b3167, b3168, b3169, b3170, b3171]	3318290	0						0.0	86859697051.9506
PM0-5741	3318562	3318636	1	promoter	[b3172]	3318562	0						0.0	86859697051.9506
b3172	3318637	3319980	1	gene		3318637	0	P0A6E4	Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2	argG	49848.81733	8158.008538699588	406667077.422216	87266364129.37282
b3173	3319988	3321613	-1	gene		3319988	0	P42640					5809958.571344681	87272174087.94417
b3174	3322072	3322158	-1	gene		3322072	0						5809958.571344681	87277984046.51552
PM00673	3322159	3322278	-1	promoter	[b3174]	3322159	0						0.0	87277984046.51552
b3175	3322173	3322505	-1	gene		3322278	0	P0AG99	Protein-export membrane protein SecG OS=Escherichia coli (strain K12) GN=secG PE=1 SV=1	secG	11339.85638	2170.942994983546	24618181.772280473	87302602228.2878
PM0-9881	3322506	3322590	-1	promoter	[b3174, b3175]	3322506	0						0.0	87302602228.2878
b3176	3322733	3324070	-1	gene		3322733	0	P31120	Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3	glmM	47495.53374	1020.6641556292166	48476988.84089606	87351079217.1287
b3177	3324063	3324911	-1	gene		3324070	0	P0AC13	Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1	folP	30577.67761	245.99165055392476	7521853.385389688	87358601070.51408
b3178	3325001	3326935	-1	gene		3325001	0	P0AAI3	ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	ftsH	70645.4092	1758.2824682312034	124214584.45737936	87482815654.97147
b3179	3327035	3327664	-1	gene		3327035	0	P0C0R7	Ribosomal RNA large subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rlmE PE=1 SV=1	rlmE	23302.1049	214.99882120000535	5009925.084978868	87487825580.05644
PM00562	3327665	3327760	-1	promoter	[b3178, b3179]	3327665	0						0.0	87487825580.05644
PM0-10132	3327759	3327789	1	promoter	[b3180]	3327760	0						0.0	87487825580.05644
b3180	3327790	3328083	1	gene		3327790	0	P0AGK4	RNA-binding protein YhbY OS=Escherichia coli (strain K12) GN=yhbY PE=1 SV=1	yhbY	10759.04069	209.19364327486292	2250722.920083595	87490076302.97653
b3181	3328239	3328715	-1	gene		3328239	0	P0A6W5	Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1	greA	17612.06622	3059.1497130790735	53877947.32364265	87543954250.30017
PM0-10488	3328716	3328864	-1	promoter	[b3181]	3328716	0						0.0	87543954250.30017
b3182	3328963	3330396	1	gene		3328963	0	P24228	D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2	dacB	51747.53005	20.415698706720242	1056461.982317752	87545010712.28249
b3183	3330582	3331754	-1	gene		3330582	0	P42641	GTPase ObgE/CgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1	obgE	43240.69916	467.56957453990253	20218035.30904912	87565228747.59154
b3184	3331770	3332735	-1	gene		3331770	0	P0AA73					5809958.571344681	87571038706.16289
b3185	3332862	3333119	-1	gene		3332862	0	P0A7L8	50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2	rpmA	9100.87084	23050.926869648352	209783508.18295518	87780822214.34584
b3186	3333140	3333451	-1	gene		3333140	0	P0AG48	50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1	rplU	11539.18454	7433.581484281446	85777468.54025072	87866599682.8861
PM0-36158	3333452	3333516	-1	promoter	[b3183, b3184, b3185, b3186]	3333452	0						0.0	87866599682.8861
b3187	3333710	3334681	1	gene		3333710	0	P0AD57	Octaprenyl-diphosphate synthase OS=Escherichia coli (strain K12) GN=ispB PE=1 SV=1	ispB	35176.70652	54.6049692374542	1920822.9773995546	87868520505.8635
PM0-46314	3334858	3334908	1	promoter	[b3188]	3334858	0						0.0	87868520505.8635
b3188	3334909	3335187	1	gene		3334909	0	P0ACH1					5809958.571344681	87874330464.43484
b3189	3335235	3336494	-1	gene		3335235	0	P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1	murA	44771.46454	698.350002090844	31266152.355119146	87905596616.78996
b3190	3336549	3336803	-1	gene		3336549	0	P0A9W6	Uncharacterized protein YrbA OS=Escherichia coli (strain K12) GN=yrbA PE=1 SV=1	yrbA	9427.72188	466.4659016278301	4397710.787050621	87909994327.57701
PM0-46203	3336804	3336833	-1	promoter	[b3189, b3190]	3336804	0						0.0	87909994327.57701
PM0-36160	3336804	3336886	-1	promoter	[b3190]	3336833	0						0.0	87909994327.57701
b3191	3336963	3337256	-1	gene		3336963	0	P64602	Probable phospholipid ABC transporter-binding protein mlaB OS=Escherichia coli (strain K12) GN=mlaB PE=1 SV=1	mlaB	10655.59462	158.0312148408411	1683916.5626501306	87911678244.13966
b3192	3337256	3337891	-1	gene		3337256	0	P0ADV7	Probable phospholipid-binding protein mlaC OS=Escherichia coli (strain K12) GN=mlaC PE=1 SV=1	mlaC	23929.47447	1306.3200711854154	31259552.79307998	87942937796.93274
b3193	3337910	3338461	-1	gene		3337910	0	P64604	Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1	mlaD	19546.14199	853.9656484421376	16691733.819032446	87959629530.75177
b3194	3338466	3339248	-1	gene		3338466	0	P64606	Probable phospholipid ABC transporter permease protein mlaE OS=Escherichia coli (strain K12) GN=mlaE PE=1 SV=1	mlaE	27827.06062	14.552417442036576	404951.0023270972	87960034481.7541
b3195	3339256	3340065	-1	gene		3339256	0	P63386	Probable phospholipid import ATP-binding protein MlaF OS=Escherichia coli (strain K12) GN=mlaF PE=1 SV=1	mlaF	29060.05549	57.017933484592575	1656944.3109873892	87961691426.0651
PM0-9420	3340211	3340274	1	promoter	[b3197, b3196]	3340211	0						0.0	87961691426.0651
b3196	3340275	3341252	1	gene		3340275	0	P45394					5809958.571344681	87967501384.63644
b3197	3341266	3342252	1	gene		3341266	0	P45395	Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1	kdsD	35155.07892	285.95510327745126	10052774.223295549	87977554158.85974
PM0-36210	3341719	3342272	1	promoter	[b3201, b3200, b3199, b3198]	3342252	0						0.0	87977554158.85974
b3198	3342273	3342839	1	gene		3342273	0	P0ABZ4	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase OS=Escherichia coli (strain K12) GN=kdsC PE=1 SV=1	kdsC	19966.50451	713.9507829952108	14255101.528591907	87991809260.38834
b3199	3342836	3343411	1	gene		3342839	0	P0ADV9	Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1	lptC	21671.13798	51.863369305781646	1123938.2323332909	87992933198.62067
PM0-36211	3343299	3343379	1	promoter	[b3201, b3200]	3343411	1						0.0	87992933198.62067
b3200	3343380	3343937	1	gene		3343411	0	P0ADV1	Lipopolysaccharide export system protein lptA OS=Escherichia coli (strain K12) GN=lptA PE=1 SV=1	lptA	20096.38618	926.4417850900625	18618131.886458464	88011551330.50713
PM-8781	3343396	3343943	1	promoter	[b3205, b3204, b3203, b3202, b3201]	3343937	0						0.0	88011551330.50713
b3201	3343944	3344669	1	gene		3343944	0	P0A9V1	Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2	lptB	26766.07681	1407.0960611520748	37662441.25184489	88049213771.75897
PM00639	3344662	3344716	1	promoter	[b3202, b3203, b3204, b3205, b3206]	3344669	0						0.0	88049213771.75897
b3202	3344717	3346150	1	gene		3344717	0	P24255	RNA polymerase sigma-54 factor OS=Escherichia coli (strain K12) GN=rpoN PE=3 SV=2	rpoN	53938.38989	252.22488230478103	13604604.04171464	88062818375.80069
b3203	3346173	3346460	1	gene		3346173	0	P0AFX0	Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1	yhbH	10725.60191	2121.7038513159455	22756550.88012866	88085574926.68082
b3204	3346578	3347069	1	gene		3346578	0						5809958.571344681	88091384885.25217
b3205	3347115	3347969	1	gene		3347115	0	P0A894	UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1	yhbJ	32453.73402	132.89698482416392	4313003.397543392	88095697888.6497
b3206	3347966	3348238	1	gene		3347969	0						5809958.571344681	88101507847.22105
PM0-8161	3348421	3348451	1	promoter	[b3207]	3348421	0						0.0	88101507847.22105
b3207	3348452	3349084	1	gene		3348452	0	P64610	Uncharacterized protein yrbL OS=Escherichia coli (strain K12) GN=yrbL PE=2 SV=1	yrbL	24311.57908	12.083618260377694	293771.84090970433	88101801619.06197
b3208	3349081	3349809	-1	gene		3349084	0	P46022					5809958.571344681	88107611577.63332
b3209	3349806	3350459	-1	gene		3349809	0	P0ABU5	Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1	elbB	22948.79863	1255.6421586214233	28815479.049541563	88136427056.68286
PM0-9687	3350577	3350576	1	promoter	[b4450]	3350577	1						0.0	88136427056.68286
b4450	3350577	3350697	1	gene		3350577	0						5809958.571344681	88142237015.25421
b3210	3350689	3353025	-1	gene		3350697	0						5809958.571344681	88148046973.82556
PM0-10133	3353026	3353049	-1	promoter	[b3210]	3353026	0						0.0	88148046973.82556
b3211	3353121	3354050	-1	gene		3353121	0	P0ADW6					5809958.571344681	88153856932.39691
PM00254	3354509	3354724	1	promoter	[b3212, b3213, b3214]	3354509	0						0.0	88153856932.39691
b3212	3354725	3359185	1	gene		3354725	0	P09831	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3	gltB	163176.3153	1815.0609981658645	296174965.7254458	88450031898.12236
b3213	3359198	3360616	1	gene		3359198	0	P09832	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3	gltD	51964.01557	3613.1344443765333	187752974.5240855	88637784872.64644
b3214	3361176	3361940	1	gene		3361176	0	P28721					5809958.571344681	88643594831.21779
b3215	3362112	3362786	1	gene		3362112	0	P28722					5809958.571344681	88649404789.78914
b3216	3362807	3365188	1	gene		3362807	0	P45420					5809958.571344681	88655214748.36049
b4569	3365185	3366929	1	gene		3365188	0						5809958.571344681	88661024706.93184
b3218	3365702	3366718	-1	gene		3366929	1	P0CE57					5809958.571344681	88666834665.50319
b3219	3366926	3367642	1	gene		3366929	0	P45422					5809958.571344681	88672644624.07454
b3220	3367827	3368954	1	gene		3367827	0	P45423					5809958.571344681	88678454582.64589
b3221	3369014	3369478	-1	gene		3369014	0	P45424	Uncharacterized protein yhcH OS=Escherichia coli (strain K12) GN=yhcH PE=1 SV=1	yhcH	17008.4626	212.29198728336937	3610760.325988863	88682065342.97188
b3222	3369475	3370350	-1	gene		3369478	0	P45425	N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2	nanK	29607.46552	76.7728991372962	2273050.964077935	88684338393.93596
b3223	3370347	3371036	-1	gene		3370350	0	P0A761	Putative N-acetylmannosamine-6-phosphate 2-epimerase OS=Escherichia coli (strain K12) GN=nanE PE=1 SV=1	nanE	24040.45142	48.559957644440416	1167403.3027084274	88685505797.23866
b3224	3371084	3372574	-1	gene		3371084	0	P41036	Putative sialic acid transporter OS=Escherichia coli (strain K12) GN=nanT PE=1 SV=2	nanT	53498.40439	3.6544698420756516	195508.30544242266	88685701305.5441
b3225	3372683	3373576	-1	gene		3372683	0	P0A6L4	N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2	nanA	32554.82139	149.32291459237877	4861180.813989116	88690562486.3581
PM0-1781	3373577	3373620	-1	promoter	[b3221, b3222, b3223, b3224, b3225]	3373577	0						0.0	88690562486.3581
b3226	3373698	3374489	-1	gene		3373698	0	P0A8W0	Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1	nanR	29488.0806	166.38642407122572	4906416.283758084	88695468902.64185
PM0-9197	3374583	3374868	1	promoter	[b3227]	3374583	0						0.0	88695468902.64185
b3227	3374869	3376236	1	gene		3374869	0	P45428					5809958.571344681	88701278861.2132
b3228	3376279	3376776	-1	gene		3376279	0	P0AFZ3	Stringent starvation protein B OS=Escherichia coli (strain K12) GN=sspB PE=1 SV=1	sspB	18233.05384	433.85200777636203	7910447.016378508	88709189308.22957
b3229	3376782	3377420	-1	gene		3376782	0	P0ACA3	Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2	sspA	24271.40368	4212.3214033445865	102238953.21048056	88811428261.44005
PM00641	3377421	3377569	-1	promoter	[b3228, b3229]	3377421	0						0.0	88811428261.44005
b3230	3377815	3378207	-1	gene		3377815	0	P0A7X3	30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2	rpsI	14829.0118	6032.804215678259	89460524.90138265	88900888786.34143
b3231	3378223	3378651	-1	gene		3378223	0	P0AA10	50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1	rplM	15990.53156	29578.14034023343	472970186.59661174	89373858972.93805
PM404	3378652	3378672	-1	promoter	[b3230, b3231]	3378652	0						0.0	89373858972.93805
b3232	3378870	3379997	-1	gene		3378870	0	P64612	Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1	yhcM	43018.03749	31.409490111827644	1351174.6231723859	89375210147.56122
PM0-10134	3380182	3380190	1	promoter	[b3233]	3380182	0						0.0	89375210147.56122
b3233	3380191	3380589	1	gene		3380191	0	P0ADW3	Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2	yhcB	14933.50295	4451.214787127045	66472229.15464535	89441682376.71587
PM0-10135	3380654	3380742	1	promoter	[b3235, b3234]	3380654	0						0.0	89441682376.71587
PM0-46305	3380698	3380742	1	promoter	[b3234]	3380742	0						0.0	89441682376.71587
b3234	3380743	3382110	1	gene		3380743	0	P39099	Protease degQ OS=Escherichia coli (strain K12) GN=degQ PE=1 SV=1	degQ	47158.1467	589.1661294801851	27783982.76469776	89469466359.48056
PM0-46306	3382173	3382199	1	promoter	[b3235]	3382173	0						0.0	89469466359.48056
b3235	3382200	3383267	1	gene		3382200	0	P0AEE3	Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1	degS	37539.88162	48.62217689394808	1825270.76470551	89471291630.24527
b3236	3383330	3384268	-1	gene		3383330	0	P61889	Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1	mdh	32299.20422	45044.31271938134	1454895455.4728415	90926187085.71811
PM0-10371	3384269	3384470	-1	promoter	[b3236]	3384269	0						0.0	90926187085.71811
PM00442	3384602	3384702	1	promoter	[b3237]	3384602	0						0.0	90926187085.71811
b3237	3384703	3385173	1	gene		3384703	0	P0A6D0	Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1	argR	16965.84566	574.1701650739595	9741282.40322152	90935928368.12134
b3238	3385538	3385801	1	gene		3385538	0	P64614					5809958.571344681	90941738326.69269
b3239	3385857	3386129	-1	gene		3385857	0	P64616					5809958.571344681	90947548285.26404
b3240	3386221	3388188	-1	gene		3386221	0	P46481					5809958.571344681	90953358243.83539
b3241	3388194	3389126	-1	gene		3388194	0	P46482					5809958.571344681	90959168202.40674
b3242	3389134	3389337	-1	gene		3389134	0	P46478					5809958.571344681	90964978160.97809
PM0-36253	3389338	3389430	-1	promoter	[b3242, b3241, b3240]	3389338	0						0.0	90964978160.97809
PM0-36254	3389496	3389519	1	promoter	[b3243]	3389496	0						0.0	90964978160.97809
b3243	3389520	3390449	1	gene		3389520	0	P67662					5809958.571344681	90970788119.54944
b3244	3390583	3392028	-1	gene		3390583	0	P0AGG8	Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1	tldD	51314.11743	199.97573718257732	10261578.46093759	90981049698.01038
b4472	3392458	3396258	-1	gene		3392458	0	P46474	Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4	yhdP	138949.1541	0.41339304580685815	57440.6140256855	90981107138.6244
b3247	3396326	3397795	-1	gene		3396326	0	P0A9J0	Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	rng	55311.45087	189.103257437626	10459575.533118213	90991566714.15752
b3248	3397785	3398378	-1	gene		3397795	0	P25536	Maf-like protein yhdE OS=Escherichia coli (strain K12) GN=yhdE PE=1 SV=1	yhdE	21484.15183	106.8630409882482	2295861.7976070377	90993862575.95512
b3249	3398387	3398875	-1	gene		3398387	0	P0ABH4					5809958.571344681	90999672534.52647
b3250	3398875	3399978	-1	gene		3398875	0	P16926	Rod shape-determining protein mreC OS=Escherichia coli (strain K12) GN=mreC PE=3 SV=1	mreC	39487.79943	44.300091683091956	1749313.1351125462	91001421847.66159
b3251	3400044	3401087	-1	gene		3400044	0	P0A9X4	Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1	mreB	36911.03451	3752.0662312189597	138492646.14432865	91139914493.80592
PM0-9540	3401088	3401356	-1	promoter	[b3249, b3250, b3251]	3401088	0						0.0	91139914493.80592
b3252	3401392	3403332	-1	gene		3401392	0	P13518					5809958.571344681	91145724452.37727
b3253	3403484	3404458	1	gene		3403484	0	P26646	Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1	yhdH	34683.88067	524.1509398091423	18179588.649408642	91163904041.02669
b4697	3404495	3404637	1	gene		3404495	0						5809958.571344681	91169713999.59804
b4646	3404638	3405031	1	gene		3404638	0						5809958.571344681	91175523958.16939
PM00525	3405140	3405435	1	promoter	[b3255, b3256]	3405140	0						0.0	91175523958.16939
PM0-46357	3405172	3405435	1	promoter	[b3256, b3255]	3405435	0						0.0	91175523958.16939
b3255	3405436	3405906	1	gene		3405436	0	P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	accB	16658.41639	2822.428059729256	47017181.84978973	91222541140.01918
b3256	3405917	3407266	1	gene		3405917	0	P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	accC	49271.30273	2214.8653093430785	109129299.16281793	91331670439.18199
PM0-8875	3407351	3407374	1	promoter	[b3257, b3258, b3259]	3407351	0						0.0	91331670439.18199
b3257	3407375	3407617	1	gene		3407375	0	P45566					5809958.571344681	91337480397.75334
b3258	3407607	3409058	1	gene		3407617	0	P16256					5809958.571344681	91343290356.32469
b3259	3409070	3409951	1	gene		3409070	0	P0A8T1	Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1	prmA	31838.89513	184.2682474093733	5866897.405055931	91349157253.72975
PM00028	3410246	3410279	1	promoter	[b3260, b3261]	3410246	0						0.0	91349157253.72975
b3260	3410280	3411245	1	gene		3410280	0	P0ABT5	tRNA-dihydrouridine synthase B OS=Escherichia coli (strain K12) GN=dusB PE=1 SV=1	dusB	35825.34133	11.619715459463194	416280.27249274676	91349573534.00224
b3261	3411271	3411567	1	gene		3411271	0	P0A6R3	DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1	fis	11214.75515	3219.8297670273855	36109602.46189368	91385683136.46414
b3262	3411653	3412537	1	gene		3411653	0	P28638					5809958.571344681	91391493095.03549
b3263	3412621	3412800	1	gene		3412621	0	P64619					5809958.571344681	91397303053.60684
b3264	3412803	3413465	-1	gene		3412803	0	P0ACT2					5809958.571344681	91403113012.17819
PM0-8727	3413702	3413863	1	promoter	[b3265, b3266]	3413702	0						0.0	91403113012.17819
b3265	3413864	3415021	1	gene		3413864	0	P24180					5809958.571344681	91408922970.74954
b3266	3415033	3418137	1	gene		3415033	0	P24181					5809958.571344681	91414732929.32089
b3267	3418390	3418611	1	gene		3418390	0	P64622					5809958.571344681	91420542887.89224
PM0-3822	3418972	3419148	1	promoter	[b3271, b3270, b3269, b3268]	3418972	0						0.0	91420542887.89224
b3268	3419042	3420066	1	gene		3419148	0						5809958.571344681	91426352846.4636
b3269	3420134	3421315	1	gene		3420134	0	P45767					5809958.571344681	91432162805.03494
b3270	3421325	3422428	1	gene		3421325	0	P45768					5809958.571344681	91437972763.6063
b3271	3422436	3423194	1	gene		3422436	0	P45769					5809958.571344681	91443782722.17764
b3272	3423423	3423542	-1	gene		3423423	0						5809958.571344681	91449592680.749
b3273	3423580	3423655	-1	gene		3423580	0						5809958.571344681	91455402639.32034
b3274	3423668	3423787	-1	gene		3423668	0						5809958.571344681	91461212597.8917
b3275	3423880	3426783	-1	gene		3423880	0						5809958.571344681	91467022556.46304
b3276	3426958	3427033	-1	gene		3426958	0						5809958.571344681	91472832515.0344
b3277	3427076	3427152	-1	gene		3427076	0						5809958.571344681	91478642473.60574
b3278	3427221	3428762	-1	gene		3427221	0						5809958.571344681	91484452432.1771
PM0-1351	3428763	3429047	-1	promoter	[b3272, b3273, b3274, b3275, b3276, b3277, b3278]	3428763	0						0.0	91484452432.1771
b3279	3429236	3429790	1	gene		3429236	0	P0A9W9	Protein YrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1	yrdA	20214.2959	1166.290335287169	23575737.942805048	91508028170.1199
b3280	3429766	3430023	-1	gene		3429790	0	P45795					5809958.571344681	91513838128.69125
b3281	3430020	3430838	-1	gene		3430023	0	P15770	Shikimate dehydrogenase OS=Escherichia coli (strain K12) GN=aroE PE=1 SV=1	aroE	29377.13756	234.31016486252148	6883361.944872572	91520721490.63612
b3282	3430843	3431415	-1	gene		3430843	0	P45748	tRNA threonylcarbamoyladenosine biosynthesis protein RimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2	rimN	20736.68585	371.9056370553559	7712090.361461035	91528433580.99759
b3283	3431420	3431962	-1	gene		3431420	0	P45771					5809958.571344681	91534243539.56894
b3284	3431991	3432464	-1	gene		3431991	0	P0A828					5809958.571344681	91540053498.14029
b4473	3432436	3433560	-1	gene		3432464	0	P30852					5809958.571344681	91545863456.71164
PM0-9369	3433561	3433686	-1	promoter	[b3286, b3285, b4473]	3433561	0						0.0	91545863456.71164
PM0-9371	3433650	3433689	1	promoter	[b3287, b3288]	3433686	0						0.0	91545863456.71164
b3287	3433690	3434199	1	gene		3433690	0	P0A6K3	Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2	def	19298.2689	839.208802188213	16195277.127875041	91562058733.83951
b3288	3434214	3435161	1	gene		3434214	0	P23882	Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4	fmt	34128.84631	585.5637925476187	19984616.680558402	91582043350.52007
b3289	3435207	3436496	1	gene		3435207	0	P36929	Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2	rsmB	48299.01648	178.77502295596227	8634657.7799624	91590678008.30003
b3290	3436518	3437894	1	gene		3436518	0	P0AGI8	Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1	trkA	50318.37257	9.380558525907327	472014.43882129487	91591150022.73886
PM0-10137	3438001	3438023	1	promoter	[b3291]	3438001	0						0.0	91591150022.73886
b3291	3438024	3438434	1	gene		3438024	0	P0A742	Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1	mscL	14929.15587	680.0287953274615	10152255.881532	91601302278.62039
