gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
b4062	4277060	4277383	-1	gene		4277060	0	P0A9E2				0.017911945107084437			228.6559990602304	-8.181174514997334e-07	0.9427150126133879
PM00297	4277384	4277423	-1	promoter	[b4062]	4277384	0					0.0			228.6559990602304	-8.181174514997334e-07	0.9427141944959364
PM00606	4277447	4277468	1	promoter	[b4063]	4277447	0					0.0			228.6559990602304	-8.181174514997334e-07	0.942713376378485
b4063	4277469	4277933	1	gene		4277469	0	P0ACS2				0.017911945107084437			228.6739110053375	-8.181174514997334e-07	0.9427125582610335
b4459	4277927	4278066	-1	gene		4277933	0					0.017911945107084437			228.69182295044456	-8.181174514997334e-07	0.942711740143582
PM0-9601	4278067	4278066	-1	promoter	[b4459]	4278067	1					0.0			228.69182295044456	-8.181174514997334e-07	0.9427109220261306
PM0-36257	4278321	4278478	1	promoter	[b4064]	4278321	0					0.0			228.69182295044456	-8.181174514997334e-07	0.9427101039086792
b4064	4278479	4279828	1	gene		4278479	0	P0AF52	Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1	ghxP	Cell inner membrane	0.00353181841988596	0.006785922658044661	0.006158473169009112	228.69535476886443	0.00011514602530644472	0.9427092857912277
b4065	4279980	4281629	1	gene		4279980	0	P32703	Uncharacterized Na(+)/H(+) exchanger yjcE OS=Escherichia coli (strain K12) GN=yjcE PE=3 SV=1	yjcE	Cell inner membrane	0.00555185239354638	0.005577999718679662	0.007416056268556057	228.700906621258	1.3286923271762377e-05	0.9428244318165342
b4066	4281783	4283075	-1	gene		4281783	0	P32704				0.017911945107084437			228.718818566365	-8.181174514997334e-07	0.9428377187398059
b4067	4283253	4284902	-1	gene		4283253	0	P32705	Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	actP	Cell inner membrane	0.004160313996286764	0.00222075599652595	0.003972166866174828	228.72297888036132	-8.181174514997334e-07	0.9428369006223545
b4068	4284899	4285213	-1	gene		4284902	0	P0AF54				0.017911945107084437			228.74089082546845	-8.181174514997334e-07	0.942836082504903
PM0-10473	4284903	4284935	-1	promoter	[b4067]	4285213	1					0.0			228.74089082546845	-8.181174514997334e-07	0.9428352643874516
b4069	4285413	4287371	-1	gene		4285413	0	P27550				0.017911945107084437			228.75880277057547	0.00012459468479984615	0.9428344462700001
PM0-3921	4287372	4287595	-1	promoter	[b4067, b4068, b4069]	4287372	0					0.0			228.75880277057547	-8.181174514997334e-07	0.9429590409548
PM00280	4287671	4287763	1	promoter	[b4070, b4071, b4072, b4073, b4074, b4075, b4076]	4287671	0					0.0			228.75880277057547	-8.181174514997334e-07	0.9429582228373485
b4070	4287764	4289200	1	gene		4287764	0	P0ABK9	Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1	nrfA	Periplasm	4.388780854631544e-06	5.515976382237388e-07	6.668607586467685e-07	228.75880715935642	-8.181174514997334e-07	0.9429574047198971
b4071	4289245	4289811	1	gene		4289245	0	P0ABL1				0.017911945107084437			228.77671910446344	-8.181174514997334e-07	0.9429565866024456
b4072	4289808	4290479	1	gene		4289811	0	P0AAK7				0.017911945107084437			228.7946310495705	-8.181174514997334e-07	0.9429557684849942
b4073	4290476	4291432	1	gene		4290479	0	P32709				0.017911945107084437			228.81254299467759	-8.181174514997334e-07	0.9429549503675427
b4074	4291512	4293170	1	gene		4291512	0	P32710				0.017911945107084437			228.83045493978463	-8.181174514997334e-07	0.9429541322500913
b4075	4293163	4293546	1	gene		4293170	0	P32711				0.017911945107084437			228.8483668848917	-8.181174514997334e-07	0.9429533141326398
b4076	4293543	4294139	1	gene		4293546	0	P32712				0.017911945107084437			228.8662788299988	-8.181174514997334e-07	0.9429524960151884
b4077	4294481	4295794	1	gene		4294481	0	P21345	Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2	gltP	Cell inner membrane	0.0005023161096016437	0.0005147191374350139	0.0006939804421408466	228.8667811461084	-8.181174514997334e-07	0.9429516778977369
b4078	4296436	4297125	-1	gene		4296436	0	P0AF56				0.017911945107084437			228.88469309121547	-8.181174514997334e-07	0.9429508597802855
b4079	4297219	4299366	-1	gene		4297219	0	P07658				0.017911945107084437			228.9026050363225	-8.181174514997334e-07	0.942950041662834
PM00208	4299367	4299407	-1	promoter	[b4079]	4299367	0					0.0			228.9026050363225	-8.181174514997334e-07	0.9429492235453826
b4080	4299564	4301030	-1	gene		4299564	0	P32714				0.017911945107084437			228.92051698142959	-8.181174514997334e-07	0.9429484054279311
b4081	4301027	4303078	-1	gene		4301030	0	P32715				0.017911945107084437			228.9384289265367	-8.181174514997334e-07	0.9429475873104797
b4082	4303078	4304109	-1	gene		4303078	0	P32716				0.017911945107084437			228.95634087164376	-8.181174514997334e-07	0.9429467691930282
b4622	4304128	4304403	-1	gene		4304128	0	A5A630				0.017911945107084437			228.97425281675083	-8.181174514997334e-07	0.9429459510755768
b4083	4304612	4306597	-1	gene		4304612	0	P32717				0.017911945107084437			228.9921647618579	-8.181174514997334e-07	0.9429451329581253
b4084	4306870	4307799	-1	gene		4306870	0	P32718				0.017911945107084437			229.01007670696495	-8.181174514997334e-07	0.9429443148406739
b4085	4307783	4308478	-1	gene		4307799	0	P32719				0.017911945107084437			229.02798865207203	-8.181174514997334e-07	0.9429434967232224
b4086	4308489	4309469	-1	gene		4308489	0	P32720				0.017911945107084437			229.04590059717916	-8.181174514997334e-07	0.942942678605771
b4087	4309448	4310980	-1	gene		4309469	0	P32721				0.017911945107084437			229.0638125422862	-8.181174514997334e-07	0.9429418604883195
b4088	4311107	4312042	-1	gene		4311107	0	P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	alsB	Periplasm	0.000654979510357292	0.0012857001634426813	0.0010312424337785267	229.06446752179656	-8.181174514997334e-07	0.9429410423708681
b4089	4312101	4312991	-1	gene		4312101	0	P0ACS7				0.017911945107084437			229.0823794669036	2.4516970551900594e-05	0.9429402242534166
PM0-4742	4312992	4313137	-1	promoter	[b4085, b4086, b4087, b4088, b4089]	4312992	0					0.0			229.0823794669036	-8.181174514997334e-07	0.9429647412239686
PM0-4723	4313257	4313349	1	promoter	[b4090]	4313257	0					0.0			229.0823794669036	-8.181174514997334e-07	0.9429639231065171
b4090	4313350	4313799	1	gene		4313350	0	P37351				0.017911945107084437			229.10029141201068	1.3286923271762377e-05	0.9429631049890657
b4487	4313868	4314197	1	gene		4313868	0	Q6BEX5				0.017911945107084437			229.11820335711778	-8.181174514997334e-07	0.9429763919123374
b4092	4314344	4315102	-1	gene		4314344	0	P16692				0.017911945107084437			229.13611530222485	-8.181174514997334e-07	0.942975573794886
b4093	4315104	4315538	-1	gene		4315104	0	P16691				0.017911945107084437			229.15402724733192	1.88318097988546e-05	0.9429747556774345
b4094	4315525	4316082	-1	gene		4315538	0	P16690				0.017911945107084437			229.171939192439	-8.181174514997334e-07	0.9429935874872334
b4095	4316082	4317218	-1	gene		4316082	0	P16689				0.017911945107084437			229.18985113754607	-8.181174514997334e-07	0.9429927693697819
b4096	4317215	4317895	-1	gene		4317218	0	P16679				0.017911945107084437			229.20776308265317	-8.181174514997334e-07	0.9429919512523305
b4097	4318006	4318764	-1	gene		4318006	0	P16678				0.017911945107084437			229.22567502776025	-8.181174514997334e-07	0.942991133134879
b4098	4318761	4319606	-1	gene		4318764	0	P16688				0.017911945107084437			229.24358697286732	-8.181174514997334e-07	0.9429903150174276
b4099	4319599	4320663	-1	gene		4319606	0	P16687				0.017911945107084437			229.2614989179744	-8.181174514997334e-07	0.9429894968999761
b4100	4320663	4321247	-1	gene		4320663	0	P16686				0.017911945107084437			229.27941086308144	-8.181174514997334e-07	0.9429886787825247
b4101	4321244	4321696	-1	gene		4321247	0	P16685				0.017911945107084437			229.2973228081885	-8.181174514997334e-07	0.9429878606650732
b4102	4321697	4322422	-1	gene		4321697	0	P16684				0.017911945107084437			229.31523475329558	-8.181174514997334e-07	0.9429870425476218
b4104	4322443	4323230	-1	gene		4322443	0					0.017911945107084437			229.33314669840263	-8.181174514997334e-07	0.9429862244301703
b4105	4323336	4324352	-1	gene		4323336	0					0.017911945107084437			229.3510586435097	-8.181174514997334e-07	0.9429854063127189
b4106	4324377	4325165	-1	gene		4324377	0	P16677				0.017911945107084437			229.36897058861683	-8.181174514997334e-07	0.9429845881952674
PM00284	4325166	4325206	-1	promoter	[b4092, b4093, b4094, b4095, b4096, b4097, b4098, b4099, b4100, b4101, b4102, b4103, b4104, b4105, b4106]	4325166	0					0.0			229.36897058861683	-8.181174514997334e-07	0.942983770077816
b4107	4325298	4325741	-1	gene		4325298	0	P16681				0.017911945107084437			229.38688253372388	2.922366733423219e-05	0.9429829519603645
b4108	4326399	4326734	-1	gene		4326399	0	P0AFJ1				0.017911945107084437			229.40479447883092	7.716323297626612e-05	0.9430121756276988
PM0-10518	4327064	4327134	1	promoter	[b4110, b4109]	4327064	0					0.0			229.40479447883092	-8.181174514997334e-07	0.943089338860675
b4109	4327135	4329363	1	gene		4327135	0	P0DM85				0.017911945107084437			229.422706423938	-8.181174514997334e-07	0.9430885207432236
b4110	4329360	4330238	1	gene		4329363	0	P39267				0.017911945107084437			229.4406183690451	-8.181174514997334e-07	0.9430877026257721
PM00212	4330320	4330501	1	promoter	[b4111]	4330320	0					0.0			229.4406183690451	-8.181174514997334e-07	0.9430868845083207
b4111	4330502	4332004	1	gene		4330502	0	P0C0L7	Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1	proP	Cell inner membrane	0.024420158484796	0.02314732064420291	0.024685368885745608	229.46503852752986	5.843183239586361e-05	0.9430860663908692
b4703	4332116	4332205	1	gene		4332116	0	G3MTW7				0.017911945107084437			229.482950472637	-8.181174514997334e-07	0.9431444982232651
b4112	4332181	4333272	-1	gene		4332205	0					0.017911945107084437			229.50086241774403	-8.181174514997334e-07	0.9431436801058136
b4113	4333282	4333950	-1	gene		4333282	0					0.017911945107084437			229.5187743628511	-8.181174514997334e-07	0.9431428619883622
b4114	4333947	4335590	-1	gene		4333950	0	P30845				0.017911945107084437			229.53668630795815	-8.181174514997334e-07	0.9431420438709107
b4115	4335694	4337031	-1	gene		4335694	0	P60061				0.017911945107084437			229.55459825306525	-8.181174514997334e-07	0.9431412257534593
PM0-46012	4337032	4337202	-1	promoter	[b4115]	4337032	0					0.0			229.55459825306525	-8.181174514997334e-07	0.9431404076360078
b4116	4337168	4337929	-1	gene		4337202	0	P33234				0.017911945107084437			229.5725101981723	-8.181174514997334e-07	0.9431395895185564
PM982	4337930	4338042	-1	promoter	[b4116]	4337930	0					0.0			229.5725101981723	-8.181174514997334e-07	0.9431387714011049
b4117	4338254	4340521	-1	gene		4338254	0	P28629				0.017911945107084437			229.59042214327943	-8.181174514997334e-07	0.9431379532836535
PM981	4340522	4340556	-1	promoter	[b4117]	4340522	0					0.0			229.59042214327943	-8.181174514997334e-07	0.943137135166202
b4118	4340720	4341628	-1	gene		4340720	0	P0ACH8				0.017911945107084437			229.60833408838647	-8.181174514997334e-07	0.9431363170487506
PM00050	4341629	4341650	-1	promoter	[b4118]	4341629	0					0.0			229.60833408838647	-8.181174514997334e-07	0.9431354989312991
PM00175	4341887	4341910	1	promoter	[b4119, b4120]	4341887	0					0.0			229.60833408838647	-8.181174514997334e-07	0.9431346808138477
b4119	4341911	4343266	1	gene		4341911	0	P06720	Alpha-galactosidase OS=Escherichia coli (strain K12) GN=melA PE=1 SV=1	melA	Cytoplasm	0.00032377810071771736	0.0017993238798260913	0.0010074982548147428	229.6086578664872	-8.181174514997334e-07	0.9431338626963962
b4120	4343369	4344790	1	gene		4343369	0	P02921				0.017911945107084437			229.62656981159427	-8.181174514997334e-07	0.9431330445789448
b4121	4344929	4345558	-1	gene		4344929	0	P39270				0.017911945107084437			229.6444817567013	-8.181174514997334e-07	0.9431322264614933
b4122	4345680	4347326	-1	gene		4345680	0	P14407				0.017911945107084437			229.66239370180838	-8.181174514997334e-07	0.9431314083440419
PM00219	4347327	4347348	-1	promoter	[b4122]	4347327	0					0.0			229.66239370180838	-8.181174514997334e-07	0.9431305902265904
b4123	4347404	4348744	-1	gene		4347404	0	P0ABN9				0.017911945107084437			229.68030564691549	-8.181174514997334e-07	0.943129772109139
PM0-4802	4348745	4349091	-1	promoter	[b4122, b4123]	4348745	0					0.0			229.68030564691549	-8.181174514997334e-07	0.9431289539916875
b4124	4349315	4350034	-1	gene		4349315	0					0.017911945107084437			229.69821759202256	-8.181174514997334e-07	0.943128135874236
b4125	4350031	4351662	-1	gene		4350034	0					0.017911945107084437			229.71612953712963	-8.181174514997334e-07	0.9431273177567846
PM0-9653	4350035	4350565	-1	promoter	[b4124]	4351662	1					0.0			229.71612953712963	-8.181174514997334e-07	0.9431264996393331
PM0-8728	4351663	4351685	-1	promoter	[b4124, b4125]	4351663	0					0.0			229.71612953712963	-8.181174514997334e-07	0.9431256815218817
b4126	4351843	4352073	1	gene		4351843	0	P0AF59				0.017911945107084437			229.73404148223668	-8.181174514997334e-07	0.9431248634044302
b4127	4352085	4352357	1	gene		4352085	0	P39274				0.017911945107084437			229.75195342734375	4.281665499969766e-05	0.9431240452869788
PM0-46296	4352549	4352583	1	promoter	[b4559, b4128]	4352549	0					0.0			229.75195342734375	-8.181174514997334e-07	0.9431668619419785
b4128	4352584	4352880	1	gene		4352584	0	P0AF61				0.017911945107084437			229.76986537245082	-8.181174514997334e-07	0.9431660438245271
b4559	4352908	4353081	1	gene		4352908	0	P64646				0.017911945107084437			229.78777731755798	-8.181174514997334e-07	0.9431652257070756
b4129	4353200	4354717	-1	gene		4353200	0	P0A8N5	Lysyl-tRNA synthetase, heat inducible OS=Escherichia coli (strain K12) GN=lysU PE=1 SV=2	lysU	Cytoplasm	0.04731235958780576	0.04544637864728377	0.04954259610324376	229.83508967714573	2.753677562746812e-05	0.9431644075896242
PM00305	4354718	4354805	-1	promoter	[b4129]	4354718	0					0.0			229.83508967714573	-8.181174514997334e-07	0.9431919443652517
b4130	4354954	4356411	-1	gene		4354954	0	P39276				0.017911945107084437			229.8530016222528	-8.181174514997334e-07	0.9431911262478002
b4131	4356470	4358617	-1	gene		4356470	0	P0A9H3				0.017911945107084437			229.87091356735988	-8.181174514997334e-07	0.9431903081303488
b4132	4358697	4360031	-1	gene		4358697	0	P0AAE8				0.017911945107084437			229.8888255124669	-8.181174514997334e-07	0.9431894900128973
PM00622	4360032	4360106	-1	promoter	[b4131, b4132]	4360032	0					0.0			229.8888255124669	-8.181174514997334e-07	0.9431886718954459
b4133	4360396	4361934	-1	gene		4360396	0	P23890				0.017911945107084437			229.906737457574	-8.181174514997334e-07	0.9431878537779944
PM00159	4361935	4361963	-1	promoter	[b4133]	4361935	0					0.0			229.906737457574	-8.181174514997334e-07	0.943187035660543
b4654	4362191	4362353	-1	gene		4362191	0					0.017911945107084437			229.9246494026811	-8.181174514997334e-07	0.9431862175430915
b4134	4362551	4362626	-1	gene		4362551	0					0.017911945107084437			229.94256134778817	-8.181174514997334e-07	0.9431853994256401
PM00675	4362627	4362627	-1	promoter	[b4134]	4362627	0					0.0			229.94256134778817	-8.181174514997334e-07	0.9431845813081886
b4135	4362733	4363308	-1	gene		4362733	0	P0ACU7				0.017911945107084437			229.96047329289524	0.00010791663578008315	0.9431837631907372
PM0-10181	4363309	4363330	-1	promoter	[b4135]	4363309	0					0.0			229.96047329289524	-8.181174514997334e-07	0.9432916798265173
b4136	4363345	4365042	-1	gene		4363345	0					0.017911945107084437			229.97838523800232	-8.181174514997334e-07	0.9432908617090658
b4137	4365018	4365356	-1	gene		4365042	0	P69488	Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1	cutA	Cytoplasm	0.0002410002798915293	0.0004693750419171412	0.0001306335585369412	229.9786262382822	6.207512241646902e-05	0.9432900435916144
PM440	4365357	4365392	-1	promoter	[b4137]	4365357	0					0.0			229.9786262382822	-8.181174514997334e-07	0.9433521187140309
b4138	4365472	4366773	-1	gene		4365472	0	P0ABN5	Anaerobic C4-dicarboxylate transporter dcuA OS=Escherichia coli (strain K12) GN=dcuA PE=1 SV=1	dcuA	Cell inner membrane	0.01595061848097824	0.015106786284838568	0.0148963795740123	229.9945768567632	1.2454194695094471e-05	0.9433513005965795
PM0-46321	4366774	4366951	-1	promoter	[b4138]	4366774	0					0.0			229.9945768567632	-8.181174514997334e-07	0.9433637547912745
b4139	4366891	4368327	-1	gene		4366951	0	P0AC38	Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1	aspA	Cytoplasm	0.010101300989591328	0.007548191514155709	0.009567871400436377	230.0046781577528	3.569046182370102e-06	0.9433629366738231
PM00220	4368328	4368432	-1	promoter	[b4138, b4139]	4368328	0					0.0			230.0046781577528	-8.181174514997334e-07	0.9433665057200055
PM0-1901	4368603	4368663	1	promoter	[b4140]	4368603	0					0.0			230.0046781577528	-8.181174514997334e-07	0.943365687602554
b4140	4368664	4369140	1	gene		4368664	0	P37147	UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2	fxsA	Cell inner membrane	9.070568665721642e-07	0.00041961276990437445	1.4945138095642001e-05	230.0046790648096	5.20875513808654e-05	0.9433648694851026
b4141	4369156	4370412	-1	gene		4369156	0	P39277				0.017911945107084437			230.02259100991668	-8.181174514997334e-07	0.9434169570364834
PM0-5243	4370616	4370687	1	promoter	[b4143, b4142]	4370616	0					0.0			230.02259100991668	-8.181174514997334e-07	0.943416138919032
b4142	4370688	4370981	1	gene		4370688	0	P0A6F9	10 kDa chaperonin OS=Escherichia coli (strain K12) GN=groS PE=1 SV=1	groS	Cytoplasm	0.2546794892859036	0.2484424000020504	0.27275533809380104	230.2772704992026	0.0052108946654303625	0.9434153208015805
PM0-10182	4370783	4371024	1	promoter	[b4143]	4370981	0					0.0			230.2772704992026	-8.181174514997334e-07	0.9486262154670109
b4143	4371025	4372671	1	gene		4371025	0	P0A6F5	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	groL	Cytoplasm	2.162653163882673	2.1251995584865084	2.1702003782991333	232.43992366308532	0.005432760755722224	0.9486253973495594
PM0-10185	4372761	4372808	1	promoter	[b4144]	4372761	0					0.0			232.43992366308532	-8.181174514997334e-07	0.9540581581052816
b4144	4372809	4373162	1	gene		4372809	0	P0AF70				0.017911945107084437			232.4578356081924	0.0005186215300307854	0.9540573399878302
b4145	4373365	4374234	-1	gene		4373365	0	P39279				0.017911945107084437			232.47574755329944	-8.181174514997334e-07	0.954575961517861
b4146	4374629	4375657	-1	gene		4374629	0	P39280				0.017911945107084437			232.4936594984065	-8.181174514997334e-07	0.9545751434004095
PM0-1382	4375567	4375698	1	promoter	[b4147]	4375657	0					0.0			232.4936594984065	-8.181174514997334e-07	0.954574325282958
b4147	4375699	4376265	1	gene		4375699	0					0.017911945107084437			232.51157144351362	-8.181174514997334e-07	0.9545735071655066
b4410	4376317	4376442	1	gene		4376317	0	P0ADB4				0.017911945107084437			232.52948338862063	6.839853673467176e-06	0.9545726890480551
PM0-10214	4376509	4376552	1	promoter	[b4411]	4376509	0					0.0			232.52948338862063	-8.181174514997334e-07	0.9545795289017286
b4411	4376553	4376699	1	gene		4376553	0	P0ADB7	Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1	ecnB	Cell membrane	0.28402101740139657	0.26514570832103235	0.2948991309315933	232.81350440602202	0.004856814270164802	0.9545787107842771
PM0-1401	4376794	4376874	1	promoter	[b4148]	4376794	0					0.0			232.81350440602202	-8.181174514997334e-07	0.959435525054442
b4148	4376875	4377192	1	gene		4376875	0	P69937				0.017911945107084437			232.83141635112912	-8.181174514997334e-07	0.9594347069369905
b4149	4377189	4377722	-1	gene		4377192	0	P0A901	Outer membrane lipoprotein blc OS=Escherichia coli (strain K12) GN=blc PE=1 SV=1	blc	Cell outer membrane	0.0025049451063114373	0.001630338130989168	0.0015655669573166988	232.83392129623542	5.6125691994026e-05	0.9594338888195391
PM524	4377723	4377745	-1	promoter	[b4149]	4377723	0					0.0			232.83392129623542	-8.181174514997334e-07	0.959490014511533
b4150	4377811	4378944	-1	gene		4377811	0	P00811	Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1	ampC	Periplasm	0.001448446420566849	0.0013216164035378065	0.0013434973773736724	232.83536974265598	-8.181174514997334e-07	0.9594891963940816
PM00501	4378945	4379003	-1	promoter	[b4150]	4378945	0					0.0			232.83536974265598	-8.181174514997334e-07	0.9594883782766301
b4151	4379007	4379366	-1	gene		4379007	0	P0A8Q3				0.017911945107084437			232.8532816877631	-8.181174514997334e-07	0.9594875601591787
b4152	4379377	4379772	-1	gene		4379377	0	P0A8Q0				0.017911945107084437			232.87119363287013	-8.181174514997334e-07	0.9594867420417272
b4153	4379783	4380517	-1	gene		4379783	0	P0AC47				0.017911945107084437			232.88910557797726	3.5026937085255145e-06	0.9594859239242758
b4154	4380510	4382318	-1	gene		4380517	0	P00363				0.017911945107084437			232.9070175230843	5.80203460637573e-06	0.9594894266179843
PM00030	4382319	4382412	-1	promoter	[b4151, b4152, b4153, b4154]	4382319	0					0.0			232.9070175230843	-8.181174514997334e-07	0.9594952286525907
PM0-10186	4382618	4382642	1	promoter	[b4155]	4382618	0					0.0			232.9070175230843	-8.181174514997334e-07	0.9594944105351393
b4155	4382643	4383620	1	gene		4382643	0	P0A8N7				0.017911945107084437			232.92492946819138	-8.181174514997334e-07	0.9594935924176878
b4156	4383839	4385341	1	gene		4383839	0	P39282				0.017911945107084437			232.94284141329845	-8.181174514997334e-07	0.9594927743002364
b4157	4385393	4385707	1	gene		4385393	0	P39283				0.017911945107084437			232.96075335840558	-8.181174514997334e-07	0.9594919561827849
b4158	4385704	4386018	1	gene		4385707	0	P39284				0.017911945107084437			232.9786653035126	-8.181174514997334e-07	0.9594911380653335
b4159	4386047	4389370	-1	gene		4386047	0	P39285	Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3	mscM	Cell inner membrane	0.002034132738034883	0.002941795514442546	0.004619830692572009	232.9806994362506	6.298923010645058e-06	0.959490319947882
b4160	4389392	4390360	-1	gene		4389392	0	P0A8K1	Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	psd	Cell membrane	0.10838105250905823	0.09656319485593902	0.0837416530531007	233.0890804887597	0.00018607294763495295	0.9594966188708927
PM0-3624	4390361	4390638	-1	promoter	[b4159, b4160]	4390361	0					0.0			233.0890804887597	-8.181174514997334e-07	0.9596826918185276
b4161	4390457	4391509	-1	gene		4390638	0	P39286				0.017911945107084437			233.1069924338668	8.803188323498656e-05	0.9596818737010762
b4162	4391604	4392149	1	gene		4391604	0	P0A784	Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2	orn	Cytoplasm	0.01960487336789704	0.017583087916755138	0.016961829045829303	233.12659730723468	0.000110918228648825	0.9597699055843112
PM00660	4392313	4392359	1	promoter	[b4163, b4164, b4165]	4392313	0					0.0			233.12659730723468	-8.181174514997334e-07	0.95988082381296
b4163	4392360	4392435	1	gene		4392360	0					0.017911945107084437			233.14450925234172	-8.181174514997334e-07	0.9598800056955086
b4164	4392472	4392547	1	gene		4392472	0					0.017911945107084437			233.1624211974488	-8.181174514997334e-07	0.9598791875780571
b4165	4392583	4392658	1	gene		4392583	0					0.017911945107084437			233.18033314255592	-8.181174514997334e-07	0.9598783694606057
PM0-10354	4392736	4392891	1	promoter	[b4670]	4392736	0					0.0			233.18033314255592	-8.181174514997334e-07	0.9598775513431542
b4670	4392892	4392945	1	gene		4392892	0	C1P621				0.017911945107084437			233.19824508766297	-8.181174514997334e-07	0.9598767332257028
b4166	4392928	4394067	-1	gene		4392945	0	P39288				0.017911945107084437			233.21615703277004	-8.181174514997334e-07	0.9598759151082513
PM962	4393677	4394065	1	promoter	[b4168, b4167, b4169, b4170, b4171, b4172, b4173, b4174, b4175]	4394067	1					0.0			233.21615703277004	-8.181174514997334e-07	0.9598750969907999
PM963	4393937	4394065	1	promoter	[b4175, b4174, b4173, b4172, b4171, b4170, b4169, b4168, b4167]	4394067	1					0.0			233.21615703277004	-8.181174514997334e-07	0.9598742788733484
b4167	4394066	4395613	1	gene		4394067	0	P31806				0.017911945107084437			233.23406897787712	3.219836201438347e-05	0.959873460755897
PM0-10356	4394068	4394092	-1	promoter	[b4166]	4395613	1					0.0			233.23406897787712	-8.181174514997334e-07	0.9599056591179114
b4168	4395585	4396046	1	gene		4395613	0	P0AF67	UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1	tsaE	Cytoplasm	0.027909507374113303	0.025541443380090137	0.02492094920027873	233.26197848525123	8.691526661422429e-05	0.9599048410004599
b4169	4396065	4397402	1	gene		4396065	0	P26365	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	amiB	Periplasm	0.0012182532055516795	0.0011055503193076474	0.0013260283716553815	233.2631967384568	1.0881014643921231e-05	0.9599917562670741
PM0-9864	4397046	4397411	1	promoter	[b4175, b4174, b4173, b4172, b4171, b4170]	4397402	0					0.0			233.2631967384568	-8.181174514997334e-07	0.9600026372817181
b4170	4397412	4399259	1	gene		4397412	0	P23367				0.017911945107084437			233.28110868356387	1.3543662471023011e-05	0.9600018191642666
PM0-9866	4398982	4399251	1	promoter	[b4175, b4174, b4173, b4172, b4171]	4399259	1					0.0			233.28110868356387	-8.181174514997334e-07	0.9600153628267376
b4171	4399252	4400202	1	gene		4399259	0	P16384				0.017911945107084437			233.29902062867092	2.773561038462848e-05	0.9600145447092862
PM0-9831	4399801	4400287	1	promoter	[b4175, b4174, b4173, b4172]	4400202	0					0.0			233.29902062867092	-8.181174514997334e-07	0.9600422803196708
b4172	4400288	4400596	1	gene		4400288	0	P0A6X3				0.017911945107084437			233.316932573778	0.00010689962582094275	0.9600414622022193
b4173	4400672	4401952	1	gene		4400672	0	P25519	GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3	hflX	Cytoplasm	0.019171410827532175	0.02058814313613668	0.01916845652985908	233.3361039846056	7.649364617409097e-05	0.9601483618280402
b4174	4402038	4403297	1	gene		4402038	0	P0ABC7	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	hflK	Cell inner membrane	0.09544337869255017	0.11221744899735343	0.1019476845552597	233.4315473632981	0.00038627855981626034	0.9602248554742143
b4175	4403300	4404304	1	gene		4403300	0	P0ABC3	Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1	hflC	Cell inner membrane	0.07555463061678787	0.08089087377180397	0.0805881681607356	233.50710199391492	0.0004572089835045234	0.9606111340340305
b4176	4404386	4404583	1	gene		4404386	0	P0AF73				0.017911945107084437			233.525013939022	-8.181174514997334e-07	0.9610683430175351
PM00134	4404664	4404686	1	promoter	[b4177]	4404664	0					0.0			233.525013939022	-8.181174514997334e-07	0.9610675249000836
b4177	4404687	4405985	1	gene		4404687	0	P0A7D4	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	purA	Cytoplasm	0.5380564435665468	0.5466785869646217	0.5389907059571254	234.0630703825885	0.001606156434640841	0.9610667067826322
